slug	index	role	product	variation	description	features	prompt	image_path	old_src	new_src
acrylic-paints-craft	1	product variation	Acrylic paints	Acrylic paints	The reliable everyday choice for notes, lists, and long writing sessions, with a clean line and dependable flow.	0.7mm smooth ballpoint tip Quick-drying blue ink Balanced resin barrel	A distinct premium catalog photograph of Acrylic paints, variation 1: Acrylic paints. Show the real Acrylic paints object clearly and accurately, with a different physical presentation from every other asset: The reliable everyday choice for notes, lists, and long writing sessions, with a clean line and dependable flow. Product details: 0.7mm smooth ballpoint tip Quick-drying blue ink Balanced resin barrel. Use a distinct angle, arrangement, and tasteful material/color variation while keeping the item recognizable. Single product focus, realistic proportions, soft studio lighting, warm off-white craft-paper background, subtle natural shadow, no text, no logos, no watermark, square composition.	projects/acrylic-paints-craft/image/unique-01.png	./image/item.png	./image/unique-01.png
acrylic-paints-craft	2	product variation	Acrylic paints	Acrylic paints	Smooth-flowing gel ink brings bright, expressive color to notes, sketches, and everyday ideas.	24 signature ink colors Quick-drying gel ink Comfortable soft-touch grip	A distinct premium catalog photograph of Acrylic paints, variation 2: Acrylic paints. Show the real Acrylic paints object clearly and accurately, with a different physical presentation from every other asset: Smooth-flowing gel ink brings bright, expressive color to notes, sketches, and everyday ideas. Product details: 24 signature ink colors Quick-drying gel ink Comfortable soft-touch grip. Use a distinct angle, arrangement, and tasteful material/color variation while keeping the item recognizable. Single product focus, realistic proportions, soft studio lighting, warm off-white craft-paper background, subtle natural shadow, no text, no logos, no watermark, square composition.	projects/acrylic-paints-craft/image/unique-02.png	./image/item.png	./image/unique-02.png
acrylic-paints-craft	3	product variation	Acrylic paints	Acrylic paints	Liquid ink glides across the page with effortless flow, expressive line control, and a refined finish.	Silky liquid ink Ultra-smooth writing Premium roller tip	A distinct premium catalog photograph of Acrylic paints, variation 3: Acrylic paints. Show the real Acrylic paints object clearly and accurately, with a different physical presentation from every other asset: Liquid ink glides across the page with effortless flow, expressive line control, and a refined finish. Product details: Silky liquid ink Ultra-smooth writing Premium roller tip. Use a distinct angle, arrangement, and tasteful material/color variation while keeping the item recognizable. Single product focus, realistic proportions, soft studio lighting, warm off-white craft-paper background, subtle natural shadow, no text, no logos, no watermark, square composition.	projects/acrylic-paints-craft/image/unique-03.png	./image/item.png	./image/unique-03.png
acrylic-paints-craft	4	product variation	Acrylic paints	Acrylic paints	A smooth fountain nib and refillable reservoir turn every page into a more considered writing experience.	Refillable ink system Fine and medium nibs Polished metal nib	A distinct premium catalog photograph of Acrylic paints, variation 4: Acrylic paints. Show the real Acrylic paints object clearly and accurately, with a different physical presentation from every other asset: A smooth fountain nib and refillable reservoir turn every page into a more considered writing experience. Product details: Refillable ink system Fine and medium nibs Polished metal nib. Use a distinct angle, arrangement, and tasteful material/color variation while keeping the item recognizable. Single product focus, realistic proportions, soft studio lighting, warm off-white craft-paper background, subtle natural shadow, no text, no logos, no watermark, square composition.	projects/acrylic-paints-craft/image/unique-04.png	./image/item.png	./image/unique-04.png
acrylic-paints-craft	5	product variation	Acrylic paints	Acrylic paints	Precise fiber tips create clean, expressive lines for diagrams, journaling, lettering, and detail work.	0.4mm precision tip Fade-resistant black ink Long-lasting fiber point	A distinct premium catalog photograph of Acrylic paints, variation 5: Acrylic paints. Show the real Acrylic paints object clearly and accurately, with a different physical presentation from every other asset: Precise fiber tips create clean, expressive lines for diagrams, journaling, lettering, and detail work. Product details: 0.4mm precision tip Fade-resistant black ink Long-lasting fiber point. Use a distinct angle, arrangement, and tasteful material/color variation while keeping the item recognizable. Single product focus, realistic proportions, soft studio lighting, warm off-white craft-paper background, subtle natural shadow, no text, no logos, no watermark, square composition.	projects/acrylic-paints-craft/image/unique-05.png	./image/item.png	./image/unique-05.png
acrylic-paints-craft	6	about presentation	Acrylic paints	about presentation 6			A distinct editorial presentation image for a stationery and craft product webpage about Acrylic paints, role about presentation number 6. Feature Acrylic paints as the clear subject in a unique composition, different from every other image in the repository, realistic product photography, soft studio lighting, warm off-white craft-paper background, no text, no logos, no watermark, square composition.	projects/acrylic-paints-craft/image/unique-06.png	./image/item.png	./image/unique-06.png
address-labels-craft	1	product variation	Address labels	Address labels	The reliable everyday choice for notes, lists, and long writing sessions, with a clean line and dependable flow.	0.7mm smooth ballpoint tip Quick-drying blue ink Balanced resin barrel	A distinct premium catalog photograph of Address labels, variation 1: Address labels. Show the real Address labels object clearly and accurately, with a different physical presentation from every other asset: The reliable everyday choice for notes, lists, and long writing sessions, with a clean line and dependable flow. Product details: 0.7mm smooth ballpoint tip Quick-drying blue ink Balanced resin barrel. Use a distinct angle, arrangement, and tasteful material/color variation while keeping the item recognizable. Single product focus, realistic proportions, soft studio lighting, warm off-white craft-paper background, subtle natural shadow, no text, no logos, no watermark, square composition.	projects/address-labels-craft/image/unique-01.png	./image/item.png	./image/unique-01.png
address-labels-craft	2	product variation	Address labels	Address labels	Smooth-flowing gel ink brings bright, expressive color to notes, sketches, and everyday ideas.	24 signature ink colors Quick-drying gel ink Comfortable soft-touch grip	A distinct premium catalog photograph of Address labels, variation 2: Address labels. Show the real Address labels object clearly and accurately, with a different physical presentation from every other asset: Smooth-flowing gel ink brings bright, expressive color to notes, sketches, and everyday ideas. Product details: 24 signature ink colors Quick-drying gel ink Comfortable soft-touch grip. Use a distinct angle, arrangement, and tasteful material/color variation while keeping the item recognizable. Single product focus, realistic proportions, soft studio lighting, warm off-white craft-paper background, subtle natural shadow, no text, no logos, no watermark, square composition.	projects/address-labels-craft/image/unique-02.png	./image/item.png	./image/unique-02.png
address-labels-craft	3	product variation	Address labels	Address labels	Liquid ink glides across the page with effortless flow, expressive line control, and a refined finish.	Silky liquid ink Ultra-smooth writing Premium roller tip	A distinct premium catalog photograph of Address labels, variation 3: Address labels. Show the real Address labels object clearly and accurately, with a different physical presentation from every other asset: Liquid ink glides across the page with effortless flow, expressive line control, and a refined finish. Product details: Silky liquid ink Ultra-smooth writing Premium roller tip. Use a distinct angle, arrangement, and tasteful material/color variation while keeping the item recognizable. Single product focus, realistic proportions, soft studio lighting, warm off-white craft-paper background, subtle natural shadow, no text, no logos, no watermark, square composition.	projects/address-labels-craft/image/unique-03.png	./image/item.png	./image/unique-03.png
address-labels-craft	4	product variation	Address labels	Address labels	A smooth fountain nib and refillable reservoir turn every page into a more considered writing experience.	Refillable ink system Fine and medium nibs Polished metal nib	A distinct premium catalog photograph of Address labels, variation 4: Address labels. Show the real Address labels object clearly and accurately, with a different physical presentation from every other asset: A smooth fountain nib and refillable reservoir turn every page into a more considered writing experience. Product details: Refillable ink system Fine and medium nibs Polished metal nib. Use a distinct angle, arrangement, and tasteful material/color variation while keeping the item recognizable. Single product focus, realistic proportions, soft studio lighting, warm off-white craft-paper background, subtle natural shadow, no text, no logos, no watermark, square composition.	projects/address-labels-craft/image/unique-04.png	./image/item.png	./image/unique-04.png
address-labels-craft	5	product variation	Address labels	Address labels	Precise fiber tips create clean, expressive lines for diagrams, journaling, lettering, and detail work.	0.4mm precision tip Fade-resistant black ink Long-lasting fiber point	A distinct premium catalog photograph of Address labels, variation 5: Address labels. Show the real Address labels object clearly and accurately, with a different physical presentation from every other asset: Precise fiber tips create clean, expressive lines for diagrams, journaling, lettering, and detail work. Product details: 0.4mm precision tip Fade-resistant black ink Long-lasting fiber point. Use a distinct angle, arrangement, and tasteful material/color variation while keeping the item recognizable. Single product focus, realistic proportions, soft studio lighting, warm off-white craft-paper background, subtle natural shadow, no text, no logos, no watermark, square composition.	projects/address-labels-craft/image/unique-05.png	./image/item.png	./image/unique-05.png
address-labels-craft	6	about presentation	Address labels	about presentation 6			A distinct editorial presentation image for a stationery and craft product webpage about Address labels, role about presentation number 6. Feature Address labels as the clear subject in a unique composition, different from every other image in the repository, realistic product photography, soft studio lighting, warm off-white craft-paper background, no text, no logos, no watermark, square composition.	projects/address-labels-craft/image/unique-06.png	./image/item.png	./image/unique-06.png
art-aprons-craft	1	product variation	Art aprons	Art aprons	The reliable everyday choice for notes, lists, and long writing sessions, with a clean line and dependable flow.	0.7mm smooth ballpoint tip Quick-drying blue ink Balanced resin barrel	A distinct premium catalog photograph of Art aprons, variation 1: Art aprons. Show the real Art aprons object clearly and accurately, with a different physical presentation from every other asset: The reliable everyday choice for notes, lists, and long writing sessions, with a clean line and dependable flow. Product details: 0.7mm smooth ballpoint tip Quick-drying blue ink Balanced resin barrel. Use a distinct angle, arrangement, and tasteful material/color variation while keeping the item recognizable. Single product focus, realistic proportions, soft studio lighting, warm off-white craft-paper background, subtle natural shadow, no text, no logos, no watermark, square composition.	projects/art-aprons-craft/image/unique-01.png	./image/item.png	./image/unique-01.png
