slug	title	heading	product	prompt	image_path
acrylic-paints-craft	AcrylicPaintsCraft - Premium Acrylic paints	Precision Meets Innovation	Acrylic paints	A clean premium product catalog photograph of Acrylic paints, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/acrylic-paints-craft/image/item.png
address-labels-craft	AddressLabelsCraft - Premium Address labels	Precision Meets Innovation	Address labels	A clean premium product catalog photograph of Address labels, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/address-labels-craft/image/item.png
art-aprons-craft	ArtApronsCraft - Premium Art aprons	Precision Meets Innovation	Art aprons	A clean premium product catalog photograph of Art aprons, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/art-aprons-craft/image/item.png
art-markers-craft	ArtMarkersCraft - Premium Art markers	Precision Meets Innovation	Art markers	A clean premium product catalog photograph of Art markers, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/art-markers-craft/image/item.png
attendance-registers-craft	AttendanceRegistersCraft - Premium Attendance registers	Precision Meets Innovation	Attendance registers	A clean premium product catalog photograph of Attendance registers, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/attendance-registers-craft/image/item.png
ballpointcraft	BallpointCraft - Premium Ballpoint Pens	Everyday Writing, Meets Perfected	Ballpoint Pens	A clean premium product catalog photograph of Ballpoint Pens, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/ballpointcraft/image/item.png
binder-clips-craft	BinderClipsCraft - Premium Binder clips	Precision Meets Innovation	Binder clips	A clean premium product catalog photograph of Binder clips, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/binder-clips-craft/image/item.png
blank-paper-craft	BlankPaperCraft - Premium Blank paper	Precision Meets Innovation	Blank paper	A clean premium product catalog photograph of Blank paper, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/blank-paper-craft/image/item.png
blending-stumps-craft	BlendingStumpsCraft - Premium Blending stumps	Precision Meets Innovation	Blending stumps	A clean premium product catalog photograph of Blending stumps, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/blending-stumps-craft/image/item.png
bookends-craft	BookendsCraft - Premium Bookends	Precision Meets Innovation	Bookends	A clean premium product catalog photograph of Bookends, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/bookends-craft/image/item.png
bookmarks-craft	BookmarksCraft - Premium Bookmarks	Precision Meets Innovation	Bookmarks	A clean premium product catalog photograph of Bookmarks, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/bookmarks-craft/image/item.png
brushcraft	BrushCraft - Premium Brush Pens	Let Your Meets Line Move	Brush Pens	A clean premium product catalog photograph of Brush Pens, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/brushcraft/image/item.png
bulldog-clips-craft	BulldogClipsCraft - Premium Bulldog clips	Precision Meets Innovation	Bulldog clips	A clean premium product catalog photograph of Bulldog clips, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/bulldog-clips-craft/image/item.png
business-card-holders-craft	BusinessCardHoldersCraft - Premium Business card holders	Precision Meets Innovation	Business card holders	A clean premium product catalog photograph of Business card holders, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/business-card-holders-craft/image/item.png
cable-organizers-craft	CableOrganizersCraft - Premium Cable organizers	Precision Meets Innovation	Cable organizers	A clean premium product catalog photograph of Cable organizers, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/cable-organizers-craft/image/item.png
